name,ra,decl,spt,sptnum,plx,plx_err,pmra,pmdec,pmtot,radvel,radvel_err,GAIA_G,GAIA_Ge,GAIA_B,GAIA_Be,GAIA_R,GAIA_Re,2MASS_J,2MASS_Je,2MASS_H,2MASS_He,2MASS_KS,2MASS_KSe,SDSS_G,SDSS_R,SDSS_I,SDSS_Z,PANSTARRS_Ge,PANSTARRS_Re,PANSTARRS_Ie,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,WISE_W3,WISE_W3e,WISE_W4,WISE_W4e,MKO_Y,MKO_Ye,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_R,PANSTARRS_I,PANSTARRS_Z,PANSTARRS_Y
ULAS J124804.56+075904.0,192.0187,7.9844,T7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.26,0.15,17.299,0.149,15.452,0.103,12.144,,8.934,,18.835,0.045,17.716,0.03,18.165,0.078,17.854,0.138,,,,,19.62600023
CFBDS J232620.21-025643.7,351.584,-2.9452,T3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,20.26,0.08,16.596,0.088,15.746,0.151,12.479,0.493,9.117,,19.26,0.06,17.79,0.04,17.42,0.03,17.1,0.03,,,,21.26999947,19.62600023
ULAS J132605.18+120009.9,201.5212,12.0027,T6 pec,26,,,112.3,-16.4,113.4911891,,,,,,,,,,,,,,,,,,,,,,0.14,20.25,0.07,16.726,0.084,15.363,0.094,12.677,,8.79,,18.64,0.039,17.494,0.021,17.662,0.064,17.584,0.078,,,,21.67999931,19.616
CFBDS J152514.82+111833.1,231.3116,11.3093,T2.5,22.5,,,28.5,-269.2,270.7044329,,,,,,,,,,,,,,,,,,,,,,,20.25,0.14,16.841,0.097,15.945,0.18,12.511,,9.112,,19.252,0.087,18.081,0.059,17.519,0.054,17.452,0.082,,,,,19.616
ULAS J222958.30+010217.2,337.493,1.0382,T2.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.25,0.09,16.513,0.093,15.598,0.129,12.214,,8.803,,19.106,0.066,17.885,0.039,17.499,0.054,17.218,0.095,,,,,19.616
ULAS J014927.09+144108.2,27.3629,14.6858,L5,15,,,22.3,-63.6,67.39621651,,,,,,,,,,,,,,,,,,,,,,0.07,20.24,0.06,15.526,0.041,14.971,0.072,12.137,,8.791,,19.304,0.091,18.039,0.05,17.099,0.048,16.317,0.039,,,,20.73000046,19.60599977
ULAS J094420.32+024422.7,146.0846,2.7396,L2,12,,,-0.3,-7.2,7.20624729,,,,,,,,,,,,,,,,,,,,,,0.06,20.23,0.11,15.924,0.054,15.66,0.146,11.725,,8.872,,19.407,0.081,18.051,0.052,17.116,0.037,16.418,0.033,,,,20.50000092,19.59599954
UGCS J160956.34-222245.6,242.4848,-22.3792,L2,12,,,-4.5,-71.8,71.9408785,,,,,,,,,,,,,,,,,,,,,,0.14,20.23,0.08,,,,,,,,,19.281,0.024,17.867,0.016,16.915,0.039,16.221,0.035,,,,20.90000053,19.59599954
WISE J214706.78-102924.0,326.7783,-10.4899,T7.5,27.5,22.7,2.1,,,,,,,,,,,,17.66,0.22,17.81,0.36,17.12,,,,,,,,,0.13,20.22,0.06,17.813,0.258,15.007,0.095,12.143,,8.421,,,,17.37,0.02,17.73,0.09,,,,,,21.61999985,19.58599931
WISEPC J231939.13-184404.3,349.9131,-18.7346,T7.5,27.5,12.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,20.22,0.04,16.668,0.087,13.822,0.041,11.779,,8.387,,18.555,0.057,17.56,0.02,17.95,0.05,18.268,0.083,,,,,19.58599931
WISE J233543.79+422255.2,353.9323,42.382,T7,27,27.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,0.14,20.22,0.13,17.458,0.153,15.264,0.08,12.122,,9.261,,,,17.43,0.02,,,,,,,,21.39000031,19.58599931
ULAS J114418.08+091025.1,176.0756,9.1735,L1,11,,,-75.4,16.6,77.20569927,,,,,,,,,,,,,,,,,,,,,0.09,0.05,20.21,0.03,16.181,0.067,15.823,0.151,12.147,,8.799,,19.199,0.049,17.995,0.028,17.202,0.021,16.533,0.024,,,22.02999962,20.56000038,19.57599908
CFHT-IC 348-6,56.0302,32.2426,M8.25,10,,,,,,,,,,,,,,17.727,0.108,16.611,0.11,15.964,0.08,,,,,,,,0.08,20.19,0.04,,,,,,,,,19.134,0.089,17.825,0.042,16.905,0.025,16.086,0.024,,,,20.81000038,19.55600053
ULAS J231645.70+010012.5,349.1905,1.0037,L2:,12,,,-33.9,-88.6,94.86395522,,,,,,,,,,,,,,,,,,,,,0.07,0.07,20.19,0.06,16.537,0.094,15.963,0.197,11.798,,8.692,,19.1,0.075,17.949,0.03,17.263,0.065,16.7,0.062,,,22.33000076,20.52999969,19.55600053
