NAME,RA,DECL,LIT_SPT_NUM,LIT_SPT_NUM,LIT_METAL_NUM,CAT_PMRA,CAT_PMDEC,CAT_PMRA_E,CAT_PMDEC_E,CAT_PMTOT,CAT_PMTOT_E,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,GAIA_G,GAIA_B,GAIA_R,GAIA_Ge,GAIA_Be,GAIA_Re,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_Ge,PANSTARRS_R,PANSTARRS_Re,PANSTARRS_I,PANSTARRS_Ie,PANSTARRS_Z,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye
2MASS J18201045+2021263,275.0418881,20.35713474,8.5,8.5,-1,-0.32565,-0.05493,0.0084,0.0084,0.330250249659255,0.0084,14.422,0.015,14.25,0.015,18.41774,20.305643,17.153236,0.05707449052,0.3795342438,0.1143245081,15.28598309,0.006522343494,14.802,0.071,14.606,0.075,20.8124,0.0386,19.3123,0.0136,17.6719,0.0058,16.9159,0.0027,15.9627,0.0045
WISEA J013012.66−104732.4,22.5530358,-10.7929657,10.0,10,-1,0.13745,-0.34943,0.0105,0.0093,0.375491447838696,0.00946962127174621,14.44,0.015,14.085,0.016,20.0610907,21.20979005,18.4977421,0.09742360388,0.578656671,0.2468573016,15.628,0.062,15.136,0.1,14.825,0.118,24.133000000000000,0.624,22.210629,0.054083,19.6217,0.0119,17.69671,0.004109,16.5978,0.0065
WISEA J001450.17−083823.4,3.711783393,-8.640490743,10.0,10,-2,1.86359,-0.30666,0.0097,0.0092,1.88865244121305,0.00968714926320709,14.491,0.018,14.301,0.02,18.098923,20.79354537,16.63347,0.0552283874,0.6268295025,0.1228182118,14.3091,0.0053,,,13.7796,0.0053,21.359375,0.042419,19.862867,0.009919,17.4012,0.0062,16.611,0.008,,
2MASS J03084507+3259277,47.18972014,32.98890749,11.0,11,-1,0.30911,-0.41608,0.0096,0.0093,0.518335372611208,0.00940778667266758,14.492,0.015,14.207,0.017,20.4767061,21.66883221,19.0423979,0.1382136502,0.875209253,0.3414972302,15.67747974,0.008091988042,15.194,0.071,14.713,0.073,,,21.44827,0.240623,20.0808,0.0312,18.4967,0.0196,16.9988,0.011
2MASS J16403561+2922225,250.1485776,29.37169159,8.0,8,-1,0.04517,-0.25921,0.008,0.0089,0.263116234770871,0.00887478088465401,14.502,0.015,14.263,0.015,19.416702,21.779855,18.0810921,0.072688428,0.5928622191,0.2415294792,15.528,0.005,15.143,0.006,14.727,0.009,22.713793000000000,0.055003,21.09216,0.026504,18.7265,0.0058,17.324675,0.002567,16.3781,0.0069
2MASS J16141954-8151154,243.5652073,-81.85282074,9.0,9,-3,-0.50746,0.30319,0.023,0.0374,0.591134356724425,0.0275281746086506,14.532,0.047,14.368,0.048,17.732647,19.4869464,16.525173,0.05206415074,0.2977905883,0.09167879535,14.9701,0.0058,14.806,0.055,14.8015,0.0131,20.296492,0.01524,18.32012,0.004277,,,16.798,0.051,,
LSPM J0029+0717,7.279560968,7.282377268,7.0,7,-1,0.19374,-0.18532,0.0104,0.0093,0.26810201416625,0.00988969741222819,14.547,0.015,14.332,0.019,18.4476699,20.2582566,17.144681,0.06080551206,0.354226271,0.1363151014,15.38,0.006,15.07,0.009,14.876,0.011,20.725746,0.013964,19.155746,0.006348,17.666600000000000,0.0088,16.857191,0.001655,16.0042,0.0145
2MASS J18355309-3217129,278.9704542,-32.28743091,7.0,7,-1,-0.17334,-0.06623,0.0119,0.0133,0.185561764649941,0.012087360756818,14.547,0.017,14.345,0.02,19.1136793,20.63541655,17.5344659,0.08873106575,0.5694862665,0.2185157901,15.3742,0.0145,15.07,0.088,14.6097,0.013,,,,,18.025589,0.006716,17.465,0.014,,
VVV J12564163-6202039,194.1813912,-62.03452833,13.0,13,-1,-0.18585,0.17473,0.0147,0.017,0.255089779097478,0.015820829626731,14.562,0.018,14.591,0.026,19.581656,20.2345014,18.913519,0.07561802124,0.298150868,0.2288912263,,,,,,,20.43296,0.01137,19.625181,0.01175,19.29004,0.01195,19.238636,0.015172,18.22899,0.031386
2MASS J10353492-0711479,158.8936358,-7.1970675,17.0,17,-1,-0.40068,-0.02828,0.0105,0.0133,0.40167676158822,0.010515717959061,14.569,0.075,14.33,0.08,,,,,,,16.3483,0.0202,15.843,0.127,15.0594,0.0166,,,23.261436,0.108441,20.984375,0.039337,18.989550000000000,0.008003,17.7794,0.0694
